Column1;w;Topic;Name;annotated_stance;annotated_stance_jose;stance
146306;There is no abortion ban. Abortions would be legal, assuming the abortion rate went down dramatically. The heart of PL is not an abortion ban as much as no abortions happening. An abortion ban seems like the most feasible path. But what if it isn't? What if paying women to raise their own children is a more feasible path to very few abortions? The women have more reproductive choices, including one with a big payday. And society is a winner too.;0;0_abortion_abortions_fetus_pregnancy;for;against;against
87600;It is part of the mother. Individual entities can survive on their own. A fetus cannot perform the necessary biological functions to do so.  Otherwise cancer could be considered a seperate thing along with other viruses that cause growth of a bodies cells.;0;0_abortion_abortions_fetus_pregnancy;neutral;for;
113791;Just wanted to say that I 100 percent agree with you. All of your arguments were excellently made, and I appreciate you providing some of the links you did. This way, I can use them myself in future arguments.   I find it hard to believe that others can't grasp that a fetus is a baby. I mean, the word is literally the latin word for baby.   You even provided links that prove all of this, and you were ignored.   Just wanted you to know that your time wasn't wasted, and I hope others read your arguments and are convinced.;0;0_abortion_abortions_fetus_pregnancy;neutral;against;
75468;You know, you're actually making some good arguments. Well done! I'm going to take some time to digest what you're saying. I'm not sure I fully agree with everything you're saying, but I'm impressed with your argument.  You mentioned expanding abortion access. Do you feel like that's something Republicans support or oppose?;0;0_abortion_abortions_fetus_pregnancy;for;neutral;
161326;That's just dumb.   A red light and a green light mean two completely different things even though both are light just as both a fetus and a human are both flesh and blood. The metaphor was talking about how being inside and outside are not the same thing, just like a traffic light being red or green.;0;0_abortion_abortions_fetus_pregnancy;for;neutral;
184551;They made the term up to describe a procedure called an intact dilation and extraction. It’s a safe method of doing abortions later in pregnancy, which, as a reminder, only happens in cases of severe abnormalities. NOT because a woman went eight months and then just woke up one day and felt like getting an abortion, like they would have you believe.;0;0_abortion_abortions_fetus_pregnancy;neutral;for;
109136;"  So, here's where your analogy falls apart.  You being brutally murdered isn't a direct consequence of living.  It is arguably, a secondary effect.  Meanwhile, pregnancy is a direct consequence of sex.  Similarly, to stop ""getting murdered"" the other person doesn't have to do anything.  THey just don't brutally murder you.  This is in contrast to an abortion, which is an active action that must be taken.  If no action is taken, a child you helped create now exists and needs to be taken care of.  Full stop.  A better analogy might be driving and car accidents.  If you crash into something, even by mistake, you are responsible for making things right for what you have done.  Even if you don't want to.  Similarly, if a new life comes into existence, the people involved in making that life exist are responsible for it.  Even if you didn't intend to do it.";0;0_abortion_abortions_fetus_pregnancy;neutral;against;
23039; Imagine thinking pro-lifers are against eating meat.    There's no hypocrisy here. The death penalty is reserved for rapists and murderers, i.e. people who have violated the life and bodiy rights of others. Being pro death penalty is rational for anyone who respects the sanctity of life. To argue otherwise, is fundamentally to argue against the right to self defense.    What social programs are being cut, leftoid?   You're 0 for 2 on well-reasoned arguments and now you're 0 for 2 on decent insults. Be better, bro.;0;0_abortion_abortions_fetus_pregnancy;for;against;
176391; Where is this coming  from?   [https://www.foxnews.com/us/west-virginia-gov-jim-justice-signs-into-law-bill-restricting-abortion-after-8-weeks-for-adults](https://www.foxnews.com/us/west-virginia-gov-jim-justice-signs-into-law-bill-restricting-abortion-after-8-weeks-for-adults)  That bill also closed the only abortion clinic in the entire state.  Why do you keep posting this  stuff?  If you don't like abortion, that's fine. You have a right to your own politics and opinions.;0;0_abortion_abortions_fetus_pregnancy;neutral;for;
47842;"I'm sure you're the smartest and most logical person in any room you step in. May I one day be as intelligent as you.   There are plenty of pro life folks, and their opinion matters; however in the minority it is.   They are all welcome to abstain from abortions if they feel they are wrong.";0;0_abortion_abortions_fetus_pregnancy;for;neutral;
