src	trg	nij	score
798787	254684	1	0.9775614794029386
15548	430231	16	0.9991470931836864
1209510	410689	13	0.9986744166581136
1209510	695649	1	0.9154433796224208
419460	1234244	3	0.9819481717885664
419460	520690	1	0.9266343297041264
419460	972375	1	0.9336734450843373
419460	521147	1	0.9228652225606434
419460	357231	1	0.9116458676712974
419460	706029	2	0.9841391260145216
419460	608682	6	0.9873868154768948
1195573	494890	2	0.8520083216234465
1195573	146354	1	0.8158792926830359
1195573	520690	2	0.9386879859399776
1195573	1032836	1	0.9546980108150794
1195573	1132377	1	0.7923077941975106
1195573	1137789	3	0.9783485576805924
1195573	972375	2	0.9446038581851104
1195573	748633	4	0.969100769327784
1195573	21729	1	0.9418689755794208
1195573	1220350	1	0.9052486823146204
494890	146354	7	0.9522444621851164
494890	1035996	1	0.707602093183692
494890	305666	2	0.9261818052408688
494890	1230484	1	0.6853096191490378
494890	1032836	1	0.9246703617131234
494890	1132377	1	0.6726674880196466
494890	1137789	4	0.9726555951064838
494890	972375	5	0.9622399634948288
494890	748633	3	0.9317441332948406
494890	521147	7	0.968358753191625
494890	1153602	2	0.9178981161804848
494890	1232506	1	0.8244568490503286
494890	1224593	1	0.8978643427524171
494890	565896	2	0.9015426630113372
494890	21729	1	0.9037565070581064
494890	747924	1	0.9156512793408398
494890	126762	2	0.9134097007248264
494890	608682	2	0.8985988679161449
146354	1035996	7	0.969435132132409
146354	520690	2	0.9344520875973628
146354	1230484	5	0.9537102099356044
146354	1032836	2	0.9754731396814428
146354	1132377	2	0.8831000746860633
146354	1137789	1	0.93203527692769
146354	972375	3	0.9601156934606154
146354	521147	1	0.8667334991883527
146354	1153602	1	0.8969597278428367
146354	1224593	2	0.966429948554986
146354	565896	1	0.876701309268437
146354	164809	4	0.976988430903198
146354	594034	6	0.9917569881604836
146354	608682	1	0.8730643583544047
1035996	1234244	1	0.9072538397568116
1035996	1032836	4	0.987660910056848
1035996	1132377	6	0.9594533931234884
1035996	1137789	1	0.93203527692769
1035996	972375	1	0.8849363156403958
1035996	748633	5	0.9734563609934904
1035996	521147	1	0.8667334991883527
1035996	787767	1	0.9349361754864296
1035996	1220350	2	0.948098753938184
1035996	608682	5	0.9732549095858448
305666	1008547	2	0.9944579011757309
305666	1230484	2	0.9483418566310136
305666	530659	1	0.9880308142866238
305666	1153602	2	0.9759779785967928
305666	377344	1	0.9753001114317272
305666	1220350	2	0.9764301485713728
305666	608682	3	0.9799793192253164
520690	1132377	3	0.9496659606453132
1132377	958675	1	0.9537948394611324
1132377	1234244	1	0.894701958935631
1132377	1230484	4	0.9345212281796996
1132377	565896	5	0.9704102088662586
1132377	357231	5	0.963092100490848
1132377	787767	1	0.9259853204218836
1132377	1220350	2	0.9409033751057858
748633	1230484	4	0.9639920122018334
748633	530659	1	0.9834847233691164
748633	1232506	2	0.9629117425194872
748633	706029	1	0.9653826787512588
748633	1220350	4	0.9836422252926136
521147	958675	1	0.9731685858580948
521147	972375	1	0.9228652225606434
521147	1153602	5	0.9858231662573744
521147	1224593	1	0.956110888913518
521147	565896	2	0.9577382258542902
521147	706029	2	0.9814757415194774
521147	611626	1	0.7993625914778747
521147	608682	2	0.956436139834256
1153602	253973	1	0.8559795902505041
1153602	1032836	4	0.9938113644958964
1153602	1118102	1	0.960447011551984
1153602	1232506	1	0.9407641850414028
1153602	357231	1	0.9209952843246978
1232506	1230484	2	0.9355773884310132
1232506	1220350	1	0.9418596863848148
1232506	608682	1	0.9266343297041264
565896	958675	2	0.98756358971597
565896	1137978	1	0.9589380548055602
565896	357231	1	0.9052263271153708
565896	787767	2	0.979869069697402
565896	126762	1	0.9328770221529158
565896	706029	2	0.9829397174856296
21729	1137978	1	0.9797411312583518
21729	1230484	3	0.9769515231994492
21729	1137789	2	0.9896678315680096
21729	787767	1	0.980339928970066
21729	608682	1	0.9607689706805776
126762	1234244	1	0.9498813560950304
126762	972375	2	0.9682462720037236
126762	706029	1	0.97036717041668
126762	1220350	2	0.9722267095343304
387320	1147333	1	0.7293163896923818
387320	716630	5	0.9966356960518614
387320	1170058	1	0.9175244096571076
387320	91872	2	0.926122398625886
387320	695649	1	0.8925819039671032
387320	551205	1	0.9191561987339198
871004	909695	1	0.99832626920483
871004	741859	1	0.9922457412924092
871004	1223152	1	0.9913661582838276
729200	1211908	1	0.9165285705517708
729200	973627	2	0.9308635750690294
729200	1083511	6	0.9923516694219744
729200	1208415	1	0.990414152731231
729200	1204545	1	0.96745449566585
729200	817123	2	0.9920746504135658
729200	1214536	5	0.9966553374420216
1172804	999706	1	0.9977951996377828
1172804	1210621	2	0.993674274235928
166171	611626	2	0.977628918714832
1204545	246226	1	0.860257726289548
1204545	741859	2	0.9847430135298496
1213277	1211908	1	0.8914531467684293
1213277	816708	18	0.9982235300230536
1213277	1225587	3	0.971890600028822
1213277	1177038	1	0.9531180084776344
1212815	1190564	3	0.975708699069669
1212815	1211908	1	0.909029773185792
1212815	1225587	3	0.9766033748597056
1212815	1193349	2	0.988383811789831
1213020	1024416	4	0.970840696793739
1213020	413278	1	0.9406806805849705
1213020	973627	2	0.7998412705450451
1213020	1225587	1	0.8168545712508224
1213020	928681	1	0.8040646540422108
1213020	422090	2	0.7652317981588341
1213020	1190023	1	0.9781300404945106
1213020	1223152	5	0.9773668946019382
1051525	190029	1	0.9931505672263234
1190564	190029	1	0.928854318371342
1190564	1137417	4	0.9828949192158308
1190564	1201133	1	0.9325503563386384
1190564	246226	6	0.950238892710069
1190564	422090	1	0.7208528424903611
1190564	198633	1	0.9897409755631312
646929	1211908	5	0.9498457657387632
646929	641233	1	0.9683560262228946
646929	928681	46	0.9955205071422408
646929	942261	4	0.9840518473806272
646929	422090	13	0.9618357601964216
646929	1190023	1	0.9791957679696736
646929	695649	4	0.9611952556948572
246226	1211908	1	0.6697502807336506
246226	1014902	3	0.9590184108293318
246226	1137417	1	0.8471878412813979
246226	1080155	4	0.972336908132638
246226	84117	2	0.9364730295404944
246226	817123	2	0.9645076366170464
246226	1098228	9	0.9871927784371338
246226	695649	8	0.9700277107790564
246226	65108	1	0.9445293376572986
246226	1045502	5	0.9819081757898818
1177038	190029	1	0.9609157812616992
1177038	1090658	2	0.992952413448592
1177038	928681	2	0.96483806366128
1232857	1231667	5	0.9973430296350602
1231667	1147280	2	0.9672876361803592
1231667	489399	4	0.9964957623315354
1231667	1156195	2	0.9222233008099668
830679	1146221	1	0.9125555361862718
928681	413278	1	0.9620626070901211
928681	1083511	2	0.9557480553956296
928681	1196547	2	0.8057398825867393
253973	1158504	15	0.9662870733207716
253973	1147333	5	0.9008236599721856
253973	239614	8	0.9710488333954438
253973	448099	10	0.990584958490455
253973	733398	3	0.8169358917549537
253973	697288	1	0.8989563500788235
253973	1106326	6	0.9899506848240636
253973	1231657	11	0.9836080793955336
253973	746316	2	0.9516812984989952
253973	1210933	9	0.9783935525061044
733398	239614	21	0.9848584280132704
733398	429620	5	0.9485625716122114
733398	281753	2	0.9741425636162478
733398	1090294	4	0.9527797688055918
733398	113963	17	0.9951518673434796
733398	1057697	1	0.7496724250887901
733398	90571	5	0.9581735843522858
733398	1153852	9	0.9897534376688336
733398	1187727	18	0.9916389087978712
733398	356847	14	0.9818858515363792
733398	1086569	10	0.9360195653687632
733398	310081	11	0.9832873856359814
733398	177235	7	0.9492185986050876
733398	746316	16	0.9915972789816526
733398	93493	11	0.9782562370442304
733398	403615	38	0.9889781044250496
733398	978983	5	0.9593332808833984
1057697	955126	2	0.9625843351213628
1057697	239614	6	0.9816305061496068
1057697	393900	4	0.9951146628920804
1057697	429620	4	0.9773471492747604
1057697	948386	1	0.9629212342180724
1057697	1206893	1	0.8362086903027945
1057697	834573	6	0.9835784138070324
1057697	90571	6	0.9877160624806176
1057697	356847	9	0.990176158035624
1057697	1230572	1	0.7083710340590109
1057697	1217909	7	0.9902531341468797
1057697	871232	2	0.9874857403046312
1057697	722530	2	0.7494047452309588
631734	712191	4	0.9889683590587216
631734	518910	4	0.9729312345461504
631734	239614	1	0.6868257899373369
631734	448099	2	0.927961130926655
631734	362122	7	0.9298230363156892
631734	834573	2	0.8468852936359169
631734	310081	1	0.805990933074702
631734	403615	14	0.9657341377794396
631734	978983	56	0.9957138624357204
631734	80354	7	0.9335576566492356
631734	141938	3	0.809170239506547
254684	1147280	1	0.9785060485246668
254684	910155	1	0.9827678000126996
254684	983281	1	0.9839548801258976
736349	248766	1	0.970104198515887
1189965	705067	3	0.993370784309874
1015297	844654	1	0.960394939863186
1200773	1204814	2	0.998781344976618
1230332	1227736	2	0.9805331668000234
1230332	1013643	1	0.7800472705427343
1230332	444605	1	0.8614690426185607
588398	650475	1	0.969970348873888
588398	583780	1	0.9459088926279056
588398	779496	1	0.969100769327784
588398	983281	1	0.9416739211540852
588398	566870	4	0.9745482713375596
588398	1156195	2	0.906407399493269
1156195	1226941	6	0.9905141925479164
1156195	429620	1	0.8679833512414094
84117	1209846	1	0.9864936946106906
84117	758510	1	0.9801418993241612
84117	1196547	2	0.9148854372183692
422090	1231148	1	0.6715826664168518
422090	1211908	1	0.6534815991527667
422090	1193349	1	0.9022532960634682
422090	1230326	7	0.958283972491625
422090	1208415	1	0.9547027170183824
422090	741859	1	0.8525450143639803
422090	1196547	10	0.8998864340260788
422090	1223152	5	0.9651524290766924
422090	695649	1	0.7715333086037225
1211908	1024416	3	0.9693905438644438
1211908	979197	1	0.9857551669316376
1211908	1228981	1	0.9687283273437992
1211908	973627	1	0.701782113466674
1211908	1075424	2	0.9500405920189846
1211908	672032	1	0.9807167776720584
1211908	1166764	1	0.941311781162574
1232343	413278	1	0.9753001114317272
1232343	29173	1	0.9799825383741178
1232343	1216416	1	0.9831165087910424
1232343	1081069	2	0.9703815163576353
1232343	65108	1	0.9841633714422574
1190023	1166764	1	0.9950705384810083
387942	705067	1	0.984818222045115
972375	1234244	3	0.9819481717885664
972375	530659	1	0.984997775093764
930674	611626	1	0.9511278376182992
1196547	1014902	3	0.9448740429854064
1196547	29173	1	0.9066536405737744
1196547	641233	1	0.9351760039662864
1196547	1225587	4	0.9048988835751872
1196547	758510	3	0.9505762526718406
1196547	942261	1	0.8744222342277448
1196547	1138981	1	0.9019814551911876
1196547	1081069	3	0.9074345707186002
1196547	933153	1	0.9279657092649102
1196547	313229	1	0.8858075950190352
1196547	1135576	2	0.9833902342199284
1196547	1166764	3	0.9505762526718406
1196547	1211120	1	0.7798599571189926
177235	1206893	11	0.9795388335472692
177235	1106326	1	0.9640941651203916
177235	1230572	5	0.9165937211109632
177235	722530	53	0.9863140542288948
177235	50435	5	0.9599746805984534
177235	821442	1	0.9487346891749496
177235	526954	16	0.9958285851159924
973627	1024416	1	0.8575847709696609
973627	1201133	8	0.981635342933854
973627	816708	2	0.9523007964295332
973627	1083511	1	0.8303716763083971
973627	1090658	1	0.9458995647422008
973627	1209846	1	0.934797839940136
973627	255807	3	0.9772339824457152
973627	1196938	7	0.9799825383741178
973627	824884	1	0.909892022865746
973627	695649	1	0.8053162676723429
444605	1230326	11	0.9964928612019864
444605	928530	1	0.966368033404298
444605	141938	2	0.9652328200435952
1158504	93133	1	0.8837292398502067
1158504	834573	1	0.7829556784391923
1158504	976587	3	0.845969850617312
1158504	1227796	2	0.9377070465025252
1158504	721156	2	0.947411849364356
1158504	825831	2	0.9377070465025252
1158504	1230572	15	0.9457335433384876
1158504	722530	96	0.9854789675522084
1158504	50435	10	0.9614928177137292
1158504	968066	2	0.9433563922732604
1158504	1141100	2	0.962978186337326
1118102	611626	1	0.8814243537988793
46879	342709	3	0.993003782866878
158308	974666	2	0.9962134996115148
158308	8280	1	0.9951833047444448
