nodeid,umap_component
473,-12.751253
6978,-17.78628
8280,-25.041162
8339,29.114847
14848,11.779321
15548,-17.902107
17047,-11.550123
21280,17.931305
21729,-17.67146
26609,15.666798
29173,4.3954444
46693,-19.391802
46879,-17.245903
50435,-7.65936
51470,17.912796
53265,11.043648
54149,-6.092631
56566,-17.610361
62413,-6.6502585
65108,-25.147028
76512,30.844973
77806,-25.581728
78812,5.8724203
80354,-17.846653
81342,-25.37393
84117,-13.03728
86241,-11.569431
90571,-13.310586
91216,-23.55936
91872,-17.674318
92787,-18.02525
93133,-11.218187
93493,5.397857
94806,15.870413
95187,3.9461374
100887,-19.137493
101251,-7.865121
106357,-13.088818
106697,4.751248
107107,30.40355
113963,16.637863
114334,-13.194411
114492,-23.680845
114626,4.4622607
114848,3.5103793
117443,-23.409924
119295,-23.363216
124259,-13.162258
126762,-7.673203
140079,16.967133
141061,4.3997455
141938,29.357761
146354,-25.460905
150148,29.982697
152445,-25.288204
153573,-24.934292
154380,-18.279255
158128,10.272334
158308,-6.256123
158371,17.08269
160503,-8.208054
162272,10.637497
164809,-6.8727546
166171,10.102805
173847,3.191159
177235,-25.861242
178597,-7.411972
188567,-23.115103
190029,16.942125
192880,5.3929667
196989,-11.514619
198633,-19.112215
203722,16.17345
204223,16.284262
207263,12.617069
215648,4.732663
239614,17.984196
243752,-18.394403
246226,4.7836285
248766,-6.2570467
253973,29.155376
254465,30.574734
254684,-18.05996
255807,-18.53613
257261,3.2143078
258109,-18.885338
263171,-24.08921
266192,-18.86625
270239,10.19413
277626,-7.2923474
278734,-6.29461
281746,17.991693
281753,4.5108366
285614,-24.816385
299735,29.487495
301636,-23.888878
302464,30.671316
305192,5.436776
305666,15.232498
310081,29.20073
310655,-10.700023
313229,29.159018
331734,-5.9834156
338373,-11.5268955
340196,2.839998
340766,30.753857
342709,30.03182
351255,15.793669
356847,-8.586934
357231,11.189497
362122,16.514889
377025,31.124243
377330,29.74878
377344,12.249796
380105,29.133133
387320,16.400618
387942,14.9967165
389080,17.489624
393048,12.983505
393900,12.641021
399929,30.282515
400587,3.920309
403615,3.851969
410689,17.18998
413278,11.03961
413972,-19.144415
418739,17.927786
419460,29.95242
422090,-8.022313
426193,-18.80696
428728,-11.138264
429620,15.673123
430231,11.277794
444605,-17.480944
448099,-25.89651
451660,5.205673
452967,-24.868227
453470,4.260891
480051,-18.460476
482186,-24.920404
489399,-7.132109
494890,12.475041
503175,12.299565
505180,16.435438
511874,-6.9298706
518910,-18.029726
520690,15.551257
521147,-12.24817
522494,-18.339705
526954,-8.272941
530659,-7.5221286
543336,4.7141314
551205,-13.296171
554531,-19.07414
565896,-8.531809
566870,-25.334572
571738,-24.39047
573131,-24.541824
573967,-17.816135
574578,15.350258
577043,10.261575
578444,-25.398693
580912,30.237474
583780,29.06634
586844,15.099446
587437,-25.885994
588398,10.187381
591342,-23.96639
591349,12.783987
591570,-6.337417
594034,15.610595
607299,4.3505955
608682,-13.154803
611626,10.272984
614035,-23.147587
621449,17.982244
621617,-19.009632
631734,12.412263
635136,14.734398
639425,-23.770252
641233,11.694012
642645,-12.667302
646929,12.613407
650475,-13.349603
652401,-7.691728
657662,15.774846
665950,-12.6678505
667192,-25.625751
667472,-13.106081
671452,11.500651
672032,31.52273
674412,-8.552385
675896,-17.52278
677078,-17.69839
689373,-6.7385507
695649,5.2350173
697288,-19.216347
701704,3.18441
705067,4.599856
706029,-25.772158
711353,12.589338
712191,-8.267975
715228,-11.509089
716630,-12.838412
718088,-13.1635475
719440,10.110185
721156,-8.548142
722530,13.066152
729200,17.862045
733398,13.071239
736349,16.640589
741859,-25.060661
742300,29.021109
744763,-19.418144
746316,-7.7322183
747924,-10.905187
748633,-6.064574
758510,-6.012872
762958,-13.361912
777279,-24.436386
777769,16.219975
777941,3.9620292
779496,17.021893
783614,30.353264
786502,17.694664
787767,-7.5804563
792793,-17.94782
794410,5.1706686
796580,-24.051165
798787,16.534868
804966,-23.112284
816708,-7.7239447
817123,4.9052763
821442,-12.359396
824884,4.7624683
825831,10.542189
830679,-12.348068
834573,10.170454
844654,-25.152899
845079,29.121246
851420,-7.4467077
853234,-11.706693
853891,-17.657877
863055,5.27011
871004,-12.2359085
871232,3.8066573
899219,5.433286
899318,-23.59395
905022,-6.1687407
908285,-19.358044
909005,-7.950665
909695,16.41387
910155,3.7425456
912124,-25.520517
923908,29.77039
928530,30.76792
928681,-6.605872
930674,17.141169
933153,4.0559134
934454,-13.159706
936222,-7.7482853
942261,-7.1320624
945890,10.162998
947901,-25.89625
948386,11.026855
955126,-25.779453
958675,31.486052
963658,-11.389069
965190,15.068613
968066,-24.500845
970393,2.8718154
970882,-12.541793
972135,-24.077787
972375,31.550728
973051,17.56701
973627,2.9739394
974666,11.703421
975182,29.33392
976587,29.846382
978983,12.509475
979197,3.5766604
981283,-23.071733
983281,16.133923
990862,-13.120729
995673,11.001462
996675,11.187864
997879,10.278575
999706,17.342798
1001818,29.966614
1005970,-25.336407
1007236,31.557901
1008547,30.41986
1008729,29.326424
1009021,-12.244056
1009484,-7.6971674
1010099,31.624577
1013643,-17.898739
1014865,31.627743
1014902,-25.02622
1015297,-18.17229
1017708,-18.12929
1017845,5.912479
1023118,-18.94402
1024416,-24.236609
1024555,12.47699
1026076,-25.780098
1027055,11.575484
1032836,-7.4033394
1035996,-24.489931
1039623,5.887326
1041722,5.8818955
1042371,4.469398
1045502,-19.494108
1045949,-18.619968
1051525,-23.134266
1053367,2.908996
1056005,31.233753
1057697,12.117639
1058815,-7.569354
1059215,-12.857651
1060339,11.072832
1060602,-25.894888
1066427,-12.64117
1069608,15.126653
1073656,-12.921068
1075424,12.995981
1078443,31.038883
1079269,4.736322
1080155,31.60497
1081069,-24.561628
1082208,5.803367
1083511,-17.837725
1086569,-10.738265
1090294,29.121952
1090534,-11.874825
1090636,-19.285322
1090658,16.72704
1090769,3.2087908
1093438,-23.57651
1097970,-6.824795
1098228,-23.929848
1099962,10.311041
1100201,11.19393
1101809,5.1825056
1106326,-7.047686
1112607,15.231376
1114560,-23.70709
1118102,-19.454794
1119434,-12.967879
1121460,-7.673899
1123022,4.0017266
1124511,12.602117
1125214,30.181452
1126262,-23.239906
1126634,-6.094848
1129081,16.886662
1129289,-23.10739
1132377,3.1587064
1132495,3.0519562
1133072,2.9245558
1133722,-11.54668
1135576,30.258068
1136756,3.8391893
1136930,-11.112907
1137199,15.728638
1137417,10.282803
1137789,3.9079862
1137978,12.729819
1138981,15.891974
1140187,17.947742
1141100,3.5425441
1141177,-18.900106
1141927,4.105733
1146221,29.032995
1146668,-10.51797
1147280,13.010857
1147333,15.977203
1149016,10.189556
1149790,-5.958842
1152903,17.056847
1153602,-25.093554
1153852,-17.544937
1155407,15.162093
1156195,3.2125885
1158504,-23.206585
1161495,4.2125483
1164562,2.8324463
1166764,15.622546
1169590,18.05218
1170058,-17.407764
1172804,3.7903903
1173002,5.803093
1175148,11.409131
1177038,15.686007
1177403,-17.446665
1179862,-6.2985997
1180141,-6.479481
1181907,-17.520256
1183682,12.208241
1185928,4.3457346
1186855,-12.248138
1187339,-11.279134
1187727,29.950344
1189965,-12.61588
1189989,-11.879102
1190023,17.949137
1190500,-11.194283
1190564,-12.299364
1191595,16.391375
1192522,11.763259
1192625,11.1817465
1192630,-13.196541
1193208,-25.9007
1193349,-8.538895
1194631,5.8347254
1195539,12.563756
1195573,-23.204058
1196538,31.52272
1196547,17.590624
1196938,17.123247
1198173,11.6574135
1198651,3.6081839
1200773,-24.55309
1201133,15.967238
1203826,4.8953924
1204545,-25.668385
1204814,-8.198589
1206137,11.796512
1206893,14.988238
1208408,30.549444
1208415,-7.1077175
1208471,-19.199131
1209510,-10.622312
1209562,15.892557
1209846,-7.7662206
1210621,-24.898743
1210933,30.591295
1211120,-18.307188
1211300,-12.247928
1211908,-10.879913
1212815,29.13739
1213020,12.214456
1213140,-7.252381
1213277,-7.0324044
1214536,-24.965525
1214780,16.22698
1216361,16.024471
1216416,17.379406
1217909,-11.982827
1218457,30.925247
1219183,30.06603
1219993,-11.771589
1220350,12.360974
1220445,-18.6308
1221444,29.220066
1223152,-6.0179844
1223901,12.467003
1224003,2.961601
1224410,-11.94438
1224593,3.0203187
1225310,17.076624
1225587,-19.378841
1226405,-12.631426
1226483,5.3005443
1226941,-5.970154
1227398,-24.341919
1227597,15.739229
1227736,-19.477016
1227796,-8.479504
1227848,10.324532
1228169,16.610758
1228851,-6.8096743
1228981,-19.539904
1230326,17.142466
1230332,-18.531967
1230484,-17.931509
1230525,-17.965471
1230572,29.281513
1230598,-24.62299
1231148,17.740248
1231390,-12.140187
1231429,3.7791698
1231657,30.70653
1231667,-24.454947
1232343,-7.9033895
1232506,-23.66255
1232740,11.819658
1232857,-13.028992
1234201,-12.198449
1234202,15.260901
1234244,-12.549265
1234504,2.148
1234586,3.7075944
1234646,4.3091483
1234673,17.517609
1234774,5.327081
1234798,15.705884
1234801,31.516134
1234802,12.372731
1235033,-6.919444
1235365,11.262553
1235695,-17.343477
1235756,-11.422533
1235950,-19.32912
1236053,30.769726
1236261,-25.684221
1236908,17.938387
1237608,-6.125357
